Mean_Ax,Std_Ax,Var_Ax,Range_Ax,Mean_Ay,Std_Ay,Var_Ay,Range_Ay,Mean_Az,Std_Az,Var_Az,Range_Az,Mean_SVM,Std_SVM,Var_SVM,Range_SVM,Mean_SVM_Horizontal,Std_SVM_Horizontal,Var_SVM_Horizontal,Range_SVM_Horizontal,Mean_Angle_z_xy,Std_Angle_z_xy,Var_Angle_z_xy,Range_Angle_z_xy,label
0.024153645833333334,0.01717603019888962,0.0002950160133931682,0.12109375,-0.9973307291666667,0.02035511134749297,0.0004143305579688371,0.15625,0.11205729166666667,0.06914536221363377,0.004781081115654612,0.421875,1.0064124702920612,0.020402745852240542,0.0004162720383111187,0.14578937415496318,0.13288557041815263,0.02329476384754096,0.0005426460227127013,0.23024266928580883,1.4580431035758008,0.06706653861087593,0.004497920601244112,0.4009081831965815,0
0.009992732558139535,0.015422240024484763,0.0002378454873728198,0.10546875,-0.9749013704318937,0.05255010634891544,0.0027615136772823224,0.18359375,-0.3052844684385382,0.18573372857146936,0.03449701792906025,0.53125,1.0393746370248824,0.028389953705202076,0.0008059894713835171,0.15286121188690216,0.30594714888489594,0.18554958786703252,0.034428649557625625,0.5312622836835611,1.871868477663994,0.18387392819424347,0.0338096214695818,0.5206664550571674,0
0.008552221760797342,0.010664863704416633,0.00011373931783378325,0.078125,-1.019453384551495,0.008986866724986461,8.076377353266888e-05,0.07421875,-0.061072466777408636,0.019360977400563813,0.00037484744590514265,0.12109375,1.021553528677057,0.009182436873416187,8.431714693427325e-05,0.07503630311232667,0.06257061875333837,0.019393748368155564,0.0003761174757673366,0.11614609827094913,1.630598443187257,0.018831906997031425,0.0003546407211448411,0.11449014605400087,0
0.028919270833333333,0.022020970133995735,0.0004849231256423321,0.13671875,-0.9810677083333333,0.052424855320551744,0.0027483654553807826,0.28125,-0.16395833333333334,0.29994403114312457,0.08996642181838768,0.7734375,1.039403668357182,0.052447456105585905,0.00275073565194736,0.2567016912602581,0.27474977792020006,0.20621057674587484,0.042522801961866336,0.5788398578925048,1.7271671025675046,0.29188626407438556,0.08519759115530195,0.7419000482568472,0
0.01105689368770764,0.013112358285932399,0.00017193393981866002,0.08984375,-1.0124974044850499,0.017492615901556527,0.0003059916110793883,0.1328125,-0.045382578903654484,0.05575824138261801,0.003108981482082295,0.28125,1.0152571593207587,0.012698583734570563,0.00016125402886390006,0.09630394191416058,0.05004567797148865,0.054379252623132944,0.002957103115850511,0.27357697335770514,1.6160084200391105,0.05682883642589824,0.003229516649521499,0.2957676894448338,0
0.0375,0.029056593737602953,0.0008442856396321072,0.20703125,-0.9858203125,0.23217573687952187,0.05390557279554897,1.70703125,0.119609375,0.16097778525613696,0.025913847345970943,0.71875,1.0092448342447953,0.2225739494658691,0.04953916298083525,1.639185843900457,0.20067400804932475,0.046028211760696325,0.0021185962778875037,0.39744475090663,1.46706527918382,0.21213183392251816,0.044999914963330834,1.2414616619065217,0
0.04470052083333333,0.012439177500047983,0.00015473313687769998,0.09765625,-0.9863802083333333,0.011947210979403735,0.00014273585018638517,0.109375,0.15709635416666667,0.013978558802771221,0.00019540010620253278,0.12109375,0.9999928239393303,0.011372150151549852,0.00012932579906939533,0.09604391915555699,0.16382679999039895,0.013703017967240572,0.00018777270141051794,0.11529078634495629,1.4129928950594475,0.014590943883184267,0.00021289564340223237,0.13118233582502747,0
0.04375,0.020017718883366262,0.0004007090692934783,0.1953125,-1.0285807291666667,0.12197008932659328,0.014876702690337145,0.9609375,0.05524739583333333,0.1359611258314998,0.01848542773736892,0.59765625,1.039458541866429,0.12718021119414802,0.016174806119388093,0.9275376263002807,0.137460181758044,0.07007558290242355,0.004910587319114436,0.38756134712427887,1.5095540618247651,0.1194560554003154,0.014269749171803223,0.523415062388868,0
0.03661458333333333,0.02665305344077287,0.0007103852577166946,0.19140625,-0.9998567708333334,0.18393277686514878,0.033831266405324606,1.37109375,0.0653125,0.15547933900973687,0.024173824858904687,0.67578125,1.0157425362141086,0.1794830115838603,0.03221415144721213,1.288810390870449,0.1651841304994421,0.05596657043557879,0.003132257006320602,0.39096697691098053,1.5110003524232867,0.171165777434127,0.0292977233646291,0.8691820166642876,0
0.03947916666666667,0.01488328014721072,0.00022151202794035672,0.1171875,-1.0320182291666666,0.13246302847155805,0.0175464539118568,0.91015625,0.09102864583333334,0.08884025332590079,0.007892590611010226,0.59375,1.0404946706136793,0.13383576798221086,0.017912012791388175,0.8847398515034349,0.1282080572568729,0.03872424569784304,0.001499567204866915,0.30043878410215913,1.47580156719503,0.07397959506690364,0.005472980486263034,0.5246094310819043,0
